sender_email,sender_name,recipient_email,recipient_name,date_sent,subject
,,,,26 Nov 2003,from DR. JOHNSON KENNETH
,,,,26 Nov 2003,from DR. JOHNSON KENNETH
,,,,27 Nov 2003,PROPOSAL
,,,,27 Nov 2003,MY WISH
,,,,28 Nov 2003,THIS IS HUMANITERIAN SERVICE THAT REQUIRES YOUR ATTENTION!
,,,,10 May 2001,consultation
,,,,30 Nov 2003,We can do this
,,,,30 Nov 2003,I WANT YOU TO BE MY FUND MANAGER.
,,,,30 Nov 2003,business  assistance
,,,,,FROM MOHAMMED ABACHA
,,,,,from mohameed abacha
,,,,,GOOD DAY.
,,,,01 Dec 2003,Investment Opportunity
,,,,,URGENT REPLY NEEDED(FROM MOHAMMED ABACHA)
,,,,02 Dec 2003,KINDLY TREAT
,,,,3 Dec 2003,MAIL ME
,,,,,BUSINESS
,,,,04 Dec 2003,feedback
,,,,,Mutual Request
,,,,,Attn please
,,,,10 Dec 2003,FROM THE DESK OF DR. USMAN BELLO
,,,,10 Dec 2003,SINGAPORE URGENT
,,,,,Hi
,,,,13 Dec 2003,JEWEL TAYLOR
,,,,13 Dec 2003,partnership / investment
,,,,13 Dec 2003,partnership / investment
,,,,,GOOD NEWS TO YOU
,,,,14 Dec 2003,Very Important
,,,,14 Dec 2003,Very Important
,,,,15 Dec 2003,URGENT BUSINESS PROPOSAL
,,,,15 Dec 2003,Reply Soon
,,,,15 Dec 2003,URGENT PLEASE
,,,,15 Dec 2003,URGENT ASSISTANCE
,,,,,Urgent respond needed.
,,,,16 Dec 2003,Very Important
,,,,,PROPOSAL
,,,,,REQUEST
,,,,,REQUEST
,,,,21 Dec 2003,CLAIMS
,,,,22 Dec 2003,URGENT ASSISTANCE
,,,,22 Dec 2003,CONFIDENTIAL
,,,,,re:business message for you
,,,,24 Dec 2003,MRS MUDIWA ZUKA
,,,,24 Dec 2003,Please Be My Investor Trustee.
,,,,29 Dec 2003,MS.MUDIWA  ZUKA
,,,,29 Dec 2003,Urgent Help
,,,,,IMPORTANT PROPOSAL
,,,,,REQUEST ASSISTANCE IN A TRANSFER.
,,,,,TRUST  
,,,,5 Jan 2004,REQUEST FOR URGENT ASSISTANCE 
,,,,5 Jan 2004,REQUEST FOR URGENT ASSISTANCE 
,,,,5 Jan 2004,REQUEST FOR URGENT ASSISTANCE 
,,,,,GOOD DAY!!!!!
,,,,,GOOD DAY!!!!!
,,,,07 Jan 2004,trust
,,,,7 Jan 2004,FROM PRINCE ABDULLAH ANDANI
,,,,7 Jan 2004,FROM PRINCE ABDULLAH ANDANI
,,,,,URGENT PARTNERSHIP!
,,,,,GOOD  DAY
,,,,,investment Relationship
,,,,,MUTAUL BUINESS RELATIONSHIP
,,,,,MUTAUL BUINESS RELATIONSHIP
,,,,,BUSINESS
,,,,9 Jan 2004,Consignment To Benefit you too
,,,,9 Jan 2004,Reply
,,,,10 Jan 2004,VERY URGENT
,,,,10 Jan 2004,VERY URGENT
,,,,11 Jan 2004,Compliment of the season
,,,,13 Jan 2004,Honest Appeal
,,,,13 Jan 2004,"URGENT,PLEASE HELP ME"
,,,,14 Jan 2004,PLEASE ASSIST
,,,,14 Jan 2004,FEEDBACK
,,,,14 Jan 2004,IN NEED OF YOUR HELP
,,,,14 Jan 2004,IN NEED OF YOUR HELP
,,,,14 Jan 2004,SOLICITATION
,,,,16 Jan 2004,"I AM REQUESTING FOR YOUR ASSISTANCE,DIRECTOR/CEO"
,,,,17 Jan 2004,STRICTLY CONFIDENTIAL FOR MUTUAL BENEFIT ..PLEASE JOIN HANDS WITH
,,,,17 Jan 2004,URGENT AND CONFIDENTIAL
,,,,17 Jan 2004,hello
,,,,18 Jan 2004,Re:
,,,,19 Jan 2004,CONTACT ME IMMEDIATLEY.
,,,,19 Jan 2004,SOLICITATION
,,,,,{BUSINESS PROPOSAL} 
,,,,,GOOD  DAY!!!!
,,,,,GOOD  DAY!!!!
,,,,3 Jan 2004,Assistance/Fund Transfer
,,,,,Urgent Reply Needed
,,,,20 Jan 2004,hello my dear
,,,,4 Jan 2004,Assistance/Fund Transfer
,,,,4 Jan 2004,Assistance/Fund Transfer
,,,,4 Jan 2004,Assistance/Fund Transfer
,,,,4 Jan 2004,Assistance/Fund Transfer
,,,,21 Jan 2004,susan
,,,,21 Jan 2004,Fund Management
,,,,21 Jan 2004,Fund Management
,,,,22 Jan 2004,Reply
,,,,22 Jan 2004,Reply
,,,,22 Jan 2004,Re:
,,,,23 Jan 2004,urgent
,,,,24 Jan 2004,CRY FOR HELP
,,,,24 Jan 2004,HIGHLY CONFIDENTIAL
,,,,25 Jan 2004,To Benefit you too
,,,,,Urgent assistance.
,,,,26 Jan 2004,SEEKING FOR ASSISTANCE/INVESTMENT
,,,,26 Jan 2004,business c o operation
,,,,28 Jan 2004,good gay
,,,,28 Jan 2004,YOURS
,,,,,CONTACT ME IMMEDIATLEY.
,,,,,CONTACT ME IMMEDIATLEY.
,,,,29 Jan 2004,GOOD DAY
,,,,29 Jan 2004,GOOD DAY
,,,,29 Jan 2004,GOOD  DAY
,,,,30 Jan 2004,PLS HELP MY FAMILY THANKS
,,,,30 Jan 2004,[Nutch-general] PLEASE GET BACK TO ME.
,,,,2 Feb 2004,the issue
,,,,3 Feb 2004,EMAIL ME ON THIS ISSUE
,,,,,JOINT VENTURE FOR PARTNERSHIP.
,,,,5 Feb 2004,Reply
,,,,5 Feb 2004,"URGENT,PLEASE HELP ME"
,,,,,Joint Venture( urgent response needed)
,,,,6 Feb 2004,COULD YOU BE OF HELP?
,,,,6 Feb 2004,COULD YOU BE OF HELP?
,,,,,From Silvia Awiloba
,,,,08 Feb 2004,I NEED YOUR ASSISTANT
,,,,7 Feb 2004,
,,,,10 Feb 2004,Please Help Me!!!
,,,,10 Feb 2004,
,,,,11 Feb 2004,safe keeping
,,,,12 Feb 2004,mansur's mail
,,,,12 Feb 2004,URGENT SUPPLY OF YOUR COMPANY PRODUCTS
,,,,12 Feb 2004,URGENT SUPPLY OF YOUR COMPANY PRODUCTS
,,,,12 Feb 2004,URGENT SUPPLY OF YOUR COMPANY PRODUCTS
,,,,12 Feb 2004,URGENT SUPPLY OF YOUR COMPANY PRODUCTS
,,,,13 Feb 2004,"Happy New Year,From Dr. Douglas"
,,,,13 Feb 2004,CRY FOR HELP
,,,,13 Feb 2004,BUSINESS/PROPOSAL.
,,,,16 Feb 2004,Notify your intrest
,,,,16 Feb 2004,Notify your intrest
,,,,6 Jan 2001,PASCAL IBE
,,,,18 Feb 2004,CONFIDENTIAL MATTER
,,,,18 Feb 2004,"COMPLIMENT, PLEASE I NEED YOUR ASIASTANCE,"
,,,,19 Feb 2004,"Greetings from Mrs. M. Abacha,"
,,,,,BUSINESS  PROPUSAL
,,,,,BUSINESS  PROPUSAL
,,,,20 Feb 2004,REPLY IMMEDIATELY (ANTWORT
,,,,,i need your assistance
,,,,21 Feb 2004,REPLY SOON
,,,,22 Feb 2004,business transaction
,,,,23 Feb 2004,ACCOUNT PROVISION
,,,,23 Feb 2004,**** Pouriel Possible **** REPLY SOON
,,,,23 Feb 2004,Re:
,,,,,Private
,,,,24 Feb 2004,URGENT
,,,,24 Feb 2004,ASSISTANCE CLAIM OF FUND
,,,,,URGENT BUSINESS ASSISTANCE 
,,,,25 Feb 2004,CONFIDENTIAL/TRUST
,,,,26 Feb 2004,from Zimbabwe with love
,,,,26 Feb 2004,from Zimbabwe with love
,,,,4 Jan 1980,HELLO
,,,,28 Feb 2004,SOLICITING YOUR ASSISTANCE
,,,,29 Feb 2004,Urgent  response needed
,,,,,ASKING FOR ASSISTANCE
,,,,3 Mar 2002,URGENT  ASSISTANCE.
,,,,3 Mar 2002,URGENT  ASSISTANCE.
,,,,,Please Understand
,,,,,SOLID PROPOSAL
,,,,15 Feb 2004,MUTUAL VENTURE PROPOSITION
,,,,8 Mar 2004,OFFER
,,,,,URGENT TRANSFER.........
,,,,,urgent buiness proposal
,,,,11 Mar 2004,GOOD DAY.
,,,,1 Jan 1990,[Nutch-general] BE OUR AGENT
,,,,13 Mar 2002,URGENT  ASSISTANCE.
,,,,14 Mar 2004,HELP ME PLEASE
,,,,,YOUR BUSINESS ASSISTANCE
,,,,,YOUR BUSINESS ASSISTANCE
,,,,15 Mar 2004,NEED URGENT ASSISTANCE FOR FOREIGN INVESTMENT
,,,,,URGENT BUSINESS........................
,,,,,Business Proposal
,,,,,Business Proposal
,,,,,Business Proposal
,,,,16 Mar 2004,Hello!
,,,,16 Mar 2004,Hello!
,,,,,CONSIIDER MY OFFER.
,,,,,CONSIIDER MY OFFER.
,,,,,CONSIIDER MY OFFER.
,,,,18 Mar 2004,Are you there?
,,,,,Urgent attention needed.
,,,,,Urgent attention needed.
,,,,,Urgent attention needed.
,,,,18 Mar 2004,IS URGENT GET BACK TO ME
,,,,,BUSINESS PROPOSAL
,,,,,hello!!!
,,,,20 Mar 2004,Very Urgent Business......
,,,,22 Mar 2004,GOOD DAY
,,,,,CONFIRM RECEIPT
,,,,,WE NEED YOUR ASSISTANCE
,,,,23 Mar 2004,ASSISTANCE
,,,,23 Mar 2004,CONFIDENTIAL
,,,,24 Mar 2004,James
,,,,26 Mar 2004,Confidential
,,,,26 Mar 2004,     PLEASE HELP ME
,,,,26 Mar 2004,PLEASE HELP ME
,,,,29 Mar 2004,Urgent From Taiwan.
,,,,30 Mar 2004,BUSINESS PROPOSAL
,,,,30 Mar 2004,ASSISTANCE & OFFER !!!
,,,,31 Mar 2004,HELP ME PLEASE.
,,,,31 Mar 2004,HELP ME PLEASE.
,,,,31 Mar 2004,GOOD DAY
,,,,1 Apr 2004,CONFIDENTIAL IN THE NAME OF ALLAH.
,,,,1 Apr 2004,CONFIDENTIAL IN THE NAME OF ALLAH.
,,,,,Respond immeiately for time essence
,,,,5 Apr 2004,CONFIDENTIAL./PERSONAL
,,,,,Greetings.
,,,,6 Apr 2004,Greetings from Mr.Johnson
,,,,07 Apr 2004,FROM  MONICA
,,,,,FROM DR. HASAN
,,,,08 Apr 2004,FROM JOHN CARLOS
,,,,1 Jan 1990,GOOD DAY
,,,,12 Apr 2004,I NEED YOUR ASSISTANCE
,,,,13 Apr 2004,Confidential
,,,,13 Apr 2004,HELP ME PLEASE
,,,,13 Apr 2004,Mr. John Coleman and  Miss Rose  Coleman
,,,,14 Apr 2004,letter from daniel
,,,,14 Apr 2004,letter from daniel
,,,,14 Apr 2004,letter from daniel
,,,,14 Apr 2004,Investment proposal
,,,,,WE NEED YOUR ASSISTANCE.
,,,,20 Apr 2004,I  NEED  HELP
,,,,,GOOD DAY TO YOU!!!
,,,,,Urgent Reply!
,,,,24 Apr 2004,From John Coleman
,,,,27 Apr 2004,URGENT ADVICE
,,,,28 Apr 2004,URGENT AND CONFIDENTIAL
,,,,29 Apr 2004,From Reverend Ngoly
,,,,28 Apr 2004,I NEED YOUR LITTLE HELP.
,,,,30 Apr 2004,GREETINGS.
,,,,1 May 2004,
,,,,1 May 2004,CONTACTING YOU URGENTLY
,,,,1 May 2004,business proposal/assistance
,,,,1 May 2004,REAL ESTATE INVESTMENT!
,,,,2 Apr 2082,Hello
,,,,5 May 2004,"MRS, FATIMA RASHEED KHALIFA"
,,,,5 May 2004,ASSIST ME AND MY FAMILY PLEASE.
,,,,30 Apr 2004,URGENT BUSINESS PLAN
,,,,06 May 2004,
,,,,06 May 2004,
,,,,7 May 2004,Dearest
,,,,7 May 2004,Dearest
,,,,08 May 2004,urgent assitance
,,,,9 May 2004,ASSIST ME AND MY FAMILY
,,,,12 May 2004,URGENT  LETTER  FROM  SOLOMON  MUDANI
,,,,12 May 2004,FROM:MR.SESAY MASSAQUOE
,,,,12 May 2004,FROM:MR.SESAY MASSAQUOE
,,,,,Consider this Proposal
,,,,13 May 2004,+++PLEASE WE NEED YOUR HELP US$32.5 MILLION !!!!!  
,,,,14 May 2004,Urgent and confidential (Assistance Needed) 
,,,,,Dearest friend
,,,,,Dearest friend
,,,,15 May 2004,Business offer
,,,,15 May 2004,Business offer
,,,,15 May 2004,PROFITABLE BUSINESS VENTURE FOR YOU AND I
,,,,16 May 2004,ASSIST ME PLEASE.
,,,,17 May 2004,Compliments
,,,,17 May 2004,Mr. Sesay Massaquoe
,,,,18 May 2004,  TRANSFER / INVESTMENT.
,,,,18 May 2004,From dan kabila
,,,,18 May 2004,Mrs Fatima Rasheed Khalifa
,,,,,urgent response needed
,,,,18 May 2004,Ilist post from drallo_wd4@yahoo.com requires approval
,,,,,urgent response needed
,,,,,urgent response needed
,,,,,urgent response needed
,,,,,urgent response needed
,,,,19 May 2004,VERY URGENT
,,,,20 May 2004,URGENT BUSINESS ASSISTANCE 
,,,,20 May 2004,URGENT  LETTER  FROM SOLOMON MUDANI
,,,,20 May 2004,Reply Asap
,,,,22 May 2004,Urgent Business Proposal
,,,,22 May 2004,Urgent Business Proposal
,,,,23 May 2004,Urgent Business Proposal
,,,,23 May 2004,Urgent Business Proposal
,,,,23 May 2004,business proposal/assistance
,,,,,hello
,,,,,ATTN:Dddddddd R. Rrrrr
,,,,25 May 2004,"""INVESTMENT CONTACT"""
,,,,,CONTACT
,,,,27 May 2004,ATTN PLS
,,,,30 May 2004,ASKING FOR ASSISTANCE
,,,,30 May 2004,ASKING FOR ASSISTANCE
,,,,28 May 2004,HELLO MY FRIEND
,,,,28 May 2004,HELLO MY FRIEND!
,,,,28 May 2004,HELP ME AND MY FAMILY PLEASE
,,,,30 May 2004,PLEASE HELP ME AND MY FAMILY. PLEASE AND PLEASE
,,,,31 May 2004, Very Urgent
,,,,31 May 2004,"BUSINESS PROPOSAL , PARTNERSHIP REPLY URGENTLY "
,,,,31 May 2004,"BUSINESS PROPOSAL , PARTNERSHIP REPLY URGENTLY "
,,,,31 May 2004,"BUSINESS PROPOSAL , PARTNERSHIP REPLY URGENTLY "
,,,,,GREETINGS
,,,,,CONFIDNTIAL
,,,,,GREETINGS
,,,,31 May 2004,good day
,,,,31 May 2004,good day
,,,,31 May 2004,IN GOOD FAITH
,,,,31 May 2004,IN GOOD FAITH
,,,,31 May 2004,IN GOOD FAITH
,,,,,BUSINESS PROPOSAL
,,,,01 Jun 2004,CONFIDENTIAL AND VERY URGENT FROM SUSAN
,,,,01 Jun 2004,CHARITABLE
,,,,01 Jun 2004,CALLING FOR YOUR  ASSISTANCE
,,,,,From Williams
,,,,,READ CAREFULLY
,,,,,READ CAREFULLY
,,,,,Business Enqiry/Partnership
,,,,,sincere assistance needed
,,,,2 Jun 2004,A RELIABLE BUSINESS PARTNER
,,,,2 Jun 2004,A RELIABLE BUSINESS PARTNER
,,,,2 Jun 2004,A RELIABLE BUSINESS PARTNER
,,,,2 Jun 2004,A RELIABLE BUSINESS PARTNER
,,,,2 Jun 2004,"FROM, MR, MIKE KOFI"
,,,,2 Jun 2004,Assistance Me Please.
,,,,2 Jun 2004,"HELLO FRIEND, PLEASE ASSIST US."
,,,,2 Jun 2004,HELP ME AND MY FAMILY PLEASE.
,,,,2 Jun 2004,HELP ME AND MY FAMILY PLEASE.
,,,,2 Jun 2004,HELP ME AND MY FAMILY PLEASE.
,,,,3 Jun 2004,CONFIDENTIAL BUSINESS PROPOSAL
,,,,3 Jun 2004,CONFIDENTIAL BUSINESS PROPOSAL
,,,,,IS URGENT.
,,,,3 Jun 2004,CONFIDENTIAL BUSINESS PROPOSAL
,,,,3 Jun 2004,YUKOS OIL FUNDS PARTERSHIP
,,,,9 May 2004,URGENT  REPLY / CONFIDENCIAL.
,,,,3 Jun 2004,CONFIDENTIAL BUSINESS PROPOSAL
,,,,03 Jun 2004,URGENT AND CONFIDENTIAL
,,,,,Mr.Larry Edwards.
,,,,03 Jun 2004,URGENT AND CONFIDENTIAL
,,,,,CAN I CONFIDE IN YOU? PLEASE RESPOND
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,4 Jun 2004,I Need Your Assistance Please.
,,,,4 Jun 2004,I Need Your Assistance Please.
,,,,4 Jun 2004,I Need Your Assistance Please.
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,,Dear Friend
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,4 Jun 2004,I NEED YOUR HELP PLEASE
,,,,,Dear Friend
,,,,04 Jun 2004,THANK YOU
,,,,,"Dear friend,"
,,,,4 Jun 2004,I Need Your Assistance Please.
,,,,,AN IMPORTANT MESSAGE TO YOU
,,,,06 Jun 2004,URGENT BUSINESS ASSISTANCE 
,,,,06 Jun 2004,URGENT BUSINESS ASSISTANCE 
,,,,06 Jun 2004,URGENT BUSINESS ASSISTANCE 
,,,,6 Jun 2004,TREAT URGENTLY
,,,,,FOR THE LOVE OF HUMANITY
,,,,22 Nov 2001,INVESTMENT/REPLY
,,,,,BUSINESS RELATIONSHIP
,,,,, URGENT REQUEST FROM MICHEAL MUMBAZA
,,,,,urgent
,,,,,SEEKING FOR FINANCIAL INVESTMENT INFORMATION 
,,,,,SEEKING FOR FINANCIAL INVESTMENT INFORMATION 
,,,,,URGENT AND CONFIDENTIAL
,,,,10 Jun 2004,Confidential
,,,,29 May 2004,Top Priority
,,,,29 May 2004,Top Priority
,,,,29 May 2004,Top Priority
,,,,,ASKING FOR ASSISTANCE
,,,,,ASKING FOR  ASSISTANCE
,,,,,ASKING FOR  ASSISTANCE
,,,,11 Jun 2004,BOUNCE bg-misc@majordomo.cs.   Non-member submission from [=?iso-8859-1?q?didi=20sithole?= <didi_sithole@yahoo.co.in>]   
,,,,11 Jun 2004,contact me
,,,,11 Jun 2004,BUSINESS RELATIONSHIP 
,,,,12 Jun 2004,PLEASE YOUR ASSISTANCE IN URGENTLT NEEDED
,,,,8 Jun 2004,From Mr.Stephen Koseff
,,,,07 Jun 2004,LETTER
,,,,19 Jun 2004,urgent christian proposal
,,,,21 Jun 2004,From Mr.Abu M.Sesay I Need Your Assistance Please.
,,,,21 Jun 2004,From Mr.Abu M.Sesay I Need Your Assistance Please.
,,,,24 Jun 2004,I NEED YOUR ASSISTANCE
,,,,,Contact (Please Respond)
,,,,,Contact (Please Respond)
,,,,25 Jun 2004,ASKING FOR ASSISTANCE
,,,,24 Jun 2004,I NEED YOUR ASSISTANCE
,,,,28 Jun 2004,Greetings!
,,,,28 Jun 2004,TRANSFER / INVESTMENT. 
,,,,28 Jun 2004,TRANSFER / INVESTMENT. 
,,,,,From Mr.Ctibor Pilna/Reply. 
,,,,,Letter
,,,,1 Jul 2004,Business offer
,,,,1 Jul 2004,Biz Proposal!
,,,,,APPRECIATION!
,,,,2 Jul 2004,kind Attention.
,,,,2 Jul 2004,kind Attention.
,,,,2 Jul 2004,kind Attention.
,,,,2 Jul 2004,Business offer
,,,,2 Jul 2004,Business offer
,,,,3 Jul 2004,BANK TRANSACTION !!!
,,,,,Reply ASAP...
,,,,4 Jul 2004,BUSINESS PARTNERSHIP    !!! jknvg
,,,,4 Jul 2004,BUSINESS PARTNERSHIP    !!! jknvg
,,,,4 Jul 2004,FEEDBACK
,,,,4 Jul 2004,FEEDBACK
,,,,4 Jul 2004,reply pls
,,,,05 Jul 2004,FEEDBACK
,,,,05 Jul 2004,FEEDBACK
,,,,5 Jul 2004,FOR YOUR CONSIDERATION
,,,,5 Jul 2004,FOR YOUR CONSIDERATION
,,,,,Dear friend
,,,,,"Dear friend,"
,,,,,Dear friend
,,,,6 Jul 2004,URGENT REPLY!
,,,,6 Jul 2004,Greetings
,,,,7 Jul 2004,FOR YOUR CONSIDERATION
,,,,7 Jul 2004,TRUST
,,,,10 Jul 2004,FROM:Mr.D Dumas.
,,,,10 Jul 2004,FROM:Mr.D Dumas.
,,,,07 Jul 2004,BUSINESS PROPOSAL - STRICTLY CONFIDENTIAL
,,,,9 Jul 2004,CHARITY SUPPORT
,,,,11 Jul 2004,SEEKING YOUR ASSISTANCE
,,,,11 Jul 2004,"Business Proposal, Treat ASAP."
,,,,11 Jul 2004,"Business Proposal, Treat ASAP."
,,,,12 Jul 2004,URGENT ASISSTENCE NEEDED
,,,,12 Jul 2004,URGENT ASISSTENCE NEEDED
,,,,14 Jul 2004,Request for personal assistance
,,,,,business proposal
,,,,15 Jul 2004, URGENT RESPONSE 
,,,,15 Jul 2004, URGENT RESPONSE 
,,,,15 Jul 2004, URGENT RESPONSE 
,,,,16 Jul 2004,BUSINESS PROPOSAL
,,,,16 Jul 2004,Request for assistance Next of kin Claims
,,,,19 Jul 2004,
,,,,19 Jul 2004,
,,,,20 Jul 2004,business proposal
,,,,21 Jul 2004,|||||||| ASKING FOR YOUR ASSISTANCE (FOR US$21.5 MILION||||||||
,,,,21 Jul 2004,|||||||| ASKING FOR YOUR ASSISTANCE (FOR US$21.5 MILION||||||||
,,,,21 Jul 2004,|||||||| ASKING FOR YOUR ASSISTANCE (FOR US$21.5 MILION||||||||
,,,,21 Jul 2004,IN GOD WE TRUST
,,,,21 Jul 2004,IN GOD WE TRUST
,,,,21 Jul 2004,A CRY FOR HELP.
,,,,21 Jul 2004,A CRY FOR HEP.
,,,,21 Jul 2004,A CRY FOR HEP.
,,,,22 Jul 2004,CAN WE DO THIS TOGETHER.
,,,,22 Jul 2004,URGENT PROPOSAL
,,,,,VERY URGENT PLEASE
,,,,,VERY URGENT PLEASE
,,,,24 Jul 2004,GOODDAY TO YOU!!!
,,,,24 Jul 2004,Seeking joint-venture partners for ERW oil casing project
,,,,25 Jul 2004,Seeking joint-venture partners for ERW oil casing project
,,,,24 Jul 2004,YOUR ASSISTANCE IS NEEDED
,,,,26 Jul 2004,I NEED YOUR ASSISTANCE
,,,,26 Jul 2004,HELLO
,,,,26 Jul 2004,CHARITY SUPPORT
,,,,28 Jul 2004,
,,,,28 Jul 2004,ASSISTANCE
,,,,29 Jul 2004,Confidential letter from charles taylor /Response
,,,,31 Jul 2004,my dear
,,,,1 Aug 2004,Thanks
,,,,02 Aug 2004,
,,,,02 Aug 2004,
,,,,2 Aug 2004,CHARITY SUPPORT
,,,,2 Aug 2004,CHARITY SUPPORT
,,,,2 Aug 2004,URGENT ASSISTANCE
,,,,02 Aug 2004,PROPOSAL
,,,,3 Aug 2004,Attention Please.
,,,,3 Aug 2004,REQUEST FOR URGENT BUSINESS ASSISTANCE
,,,,3 Aug 2004,REQUEST FOR URGENT BUSINESS ASSISTANCE
,,,,3 Aug 2004,REQUEST FOR URGENT BUSINESS ASSISTANCE
,,,,4 Aug 2004,open door
,,,,5 Aug 2004,REPPLY NEENDED
,,,,5 Aug 2004,REPPLY NEENDED
,,,,5 Aug 2004,REPPLY NEENDED
,,,,5 Aug 2004,REPPLY NEENDED
,,,,6 Aug 2004,STRICTLY CONFIDENTIAL AND URGENT
,,,,07 Aug 2004,STRICTLY CONFIDENTIAL
,,,,07 Aug 2004,STRICTLY CONFIDENTIAL
,,,,07 Aug 2004,STRICTLY CONFIDENTIAL
,,,,8 Aug 2004,URGENT ASSISTANCE.
,,,,8 Aug 2004,URGENT ASSISTANCE.
,,,,9 Aug 2004,business transaction.
,,,,9 Aug 2004,business transaction.
,,,,10 Aug 2004,Greetings
,,,,11 Aug 2004, please urgent 
,,,,11 Aug 2004,
,,,,13 Aug 2004,I NEED YOUR HELP
,,,,13 Aug 2004,I NEED YOUR HELP
,,,,13 Aug 2004,I NEED YOUR HELP
,,,,13 Aug 2004,Classified(RE:via private email below).
,,,,13 Aug 2004,"Dear Friend,"
,,,,14 Aug 2004,REPRESENTATIVES
,,,,14 Aug 2004,"FROM MR,WANG QIN"
,,,,,Urgent Response.
,,,,15 Aug 2004,Charity Assitant
,,,,15 Aug 2004,Charity Assitant
,,,,16 Aug 2004,Mail from Barrister. Joseph Morimai.
,,,,22 Jul 2004,Financial Release
,,,,17 Aug 2004,think about it
,,,,,HELLO
,,,,,HELLO
,,,,24 Jul 2004,Seeking joint-venture partners for ERW oil casing project
,,,,24 Jul 2004,Seeking joint-venture partners for ERW oil casing project
,,,,24 Jul 2004,Seeking joint-venture partners for ERW oil casing project
,,,,18 Aug 2004,I will be glad to hear from you.
,,,,,CAN BE YOU SINCERE?
,,,,,HELLO
,,,,19 Aug 2004,I WISH TO CONTACT YOU ON THIS ISSUE.
,,,,20 Aug 2004,[Nutch-dev] URGENT FROM MRS JANE
,,,,,I NEED YOUR HELP
,,,,21 Aug 2004,From Dr Ibrahim
,,,,,Confirm Message
,,,,21 Aug 2004,From Dr Ibrahim
,,,,,BUSINESS PROPOSAL
,,,,22 Aug 2004,Urgent Assistant.
,,,,22 Aug 2004,Urgent Assistant.
,,,,23 Aug 2004,TREAT AS URGENT.
,,,,23 Aug 2004, Assistant.
,,,,24 Aug 2004,I NEED YOUR ASSISTANCE
,,,,,Please Assist
,,,,,Please Assist
,,,,24 Aug 2004,GOOD DAY.
,,,,24 Aug 2004,GOOD DAY.
,,,,25 Aug 2004,"WE  NEED YOUR  URGENT  ASSISTANCE  SIR,"
,,,,26 Aug 2004,GOOD  DAY
,,,,27 Aug 2004,URGENT
,,,,28 Aug 2004,Confirm Message
,,,,28 Aug 2004,I NEED YOUR URGENT ASSISTANCE
,,,,28 Aug 2004,I NEED YOUR URGENT ASSISTANCE
,,,,,moni_millat@tiscali.co.uk
,,,,28 Aug 2004,URGENT REPLY NEEDED
,,,,3 Jan 1980,RE:VERY IMPORTANT FROM DONALD.
,,,,31 Aug 2004,URGENT RESPONSE
,,,,02 Sep 2004,from mrs grace
,,,,3 Sep 2004,
,,,,3 Sep 2004,
,,,,,investment
,,,,08 Sep 2004,Business Proposal!
,,,,08 Sep 2004,Business Proposal!
,,,,,STRICTLY CONFIDENTAIL
,,,,9 Sep 2004,From Morgan
,,,,10 Sep 2004,IMPORTANT
,,,,13 Sep 2004,REPLY
,,,,,GOOD DAY
,,,,14 Sep 2004,confidential
,,,,16 Sep 2004,Martins Aku
,,,,,BUSINESS PROPOSAL
,,,,,BUSINESS PROPOSAL
,,,,17 Sep 2004,FAITHFUL COLLABORATION.
,,,,17 Sep 2004,Mssg From Mr Bongani
,,,,17 Sep 2004,PLEASE SAVE US
,,,,17 Sep 2004,PLEASE SAVE US
,,,,18 Sep 2004,LUCY LOKOMBOH 
,,,,18 Sep 2004,CAN YOU BE SINCERE?
,,,,18 Sep 2004,CAN YOU BE SINCERE?
,,,,18 Sep 2004,CAN YOU BE SINCERE?
,,,,18 Sep 2004,From London !!!!!!!!
,,,,,YOUR HUMBLE ASSISTANCE IS HIGHLY NEEDED
,,,,19 Sep 2004,READ THIS E-MAIL
,,,,19 Sep 2004,READ THIS E-MAIL
,,,,19 Sep 2004,READ THIS E-MAIL
,,,,,Good day
,,,,20 Sep 2004,How one can become a terrorist?
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,,URGENTLY WAITING FOR YOUR REPLY
,,,,21 Sep 2004,Business Proposal
,,,,21 Sep 2004,Business Proposal
,,,,23 Sep 2004,STRICTLY URGENT AND CONFIDENTIAL
,,,,22 Sep 2004,"PLEASE HELP ME,PLEASE!"
,,,,,RE:INQUIRY
,,,,,RE:INQUIRY
,,,,22 Sep 2004,You May Reply Please !!
,,,,22 Sep 2004,"Partnership Assistance, Please Treat ASAP."
,,,,22 Sep 2004,"Partnership Assistance, Please Treat ASAP."
,,,,22 Sep 2004,Imperative and Private
,,,,23 Sep 2004,Seek Investment
,,,,23 Sep 2004,Seek Investment
,,,,,Urgent Transaction (Reply)
,,,,23 Sep 2004,TREAT AS MOST URGENT
